"name","date","dem"
"SAU",2012-12-28,-10
"CUB",1928-06-29,1
"CUB",1933-09-03,1
"ITA",1928-05-11,-9
"ITA",1943-09-13,-9
"LIT",1928-05-14,-8
"LIT",1935-11-05,-8
"NIC",1928-11-04,-3
"NIC",1936-05-31,-3
"YUG",1929-01-05,-10
"YUG",1934-10-08,-10
"ARG",1930-09-05,-8
"ARG",1937-02-27,-8
"BRA",1930-10-30,0
"BRA",1934-07-14,0
"COL",1930-06-29,5
"COL",1948-04-06,5
"DOM",1930-02-23,0
"DOM",1932-12-01,0
"ETH",1930-11-02,-5
"ETH",1935-10-01,-5
"FIN",1930-07-14,0
"FIN",1931-02-15,0
"FRN",1930-04-29,10
"FRN",1940-06-20,10
"MEX",1930-06-29,-6
"MEX",1977-08-30,-6
"PER",1930-08-24,0
"PER",1933-04-07,0
"POR",1930-07-29,-9
"POR",1974-04-22,-9
"SPN",1930-01-28,0
"SPN",1931-12-08,0
"FIN",1931-02-16,4
"FIN",1944-08-31,4
"GUA",1931-03-15,-9
"GUA",1944-12-17,-9
"SAL",1931-12-02,-9
"SAL",1944-06-28,-9
"SPN",1931-12-09,7
"SPN",1939-03-31,7
"DOM",1932-12-02,-9
"DOM",1961-05-28,-9
"THI",1932-06-23,0
"THI",1935-03-01,0
"AUS",1933-03-04,0
"AUS",1934-07-28,0
"CUB",1933-09-04,3
"CUB",1952-03-08,3
"EST",1933-10-16,0
"EST",1936-10-24,0
"GMY",1933-07-13,-9
"GMY",1945-05-05,-9
"PER",1933-04-08,2
"PER",1948-10-26,2
"AUS",1934-07-29,-9
"AUS",1938-03-14,-9
"BRA",1934-07-15,-7
"BRA",1945-10-23,-7
"BUL",1934-05-18,0
"BUL",1935-04-16,0
"GRC",1934-10-19,8
"GRC",1936-08-02,8
"HAI",1934-08-14,4
"HAI",1935-06-15,4
"TUR",1934-12-14,-7
"TUR",1946-01-06,-7
"YUG",1934-10-09,-10
"YUG",1935-06-21,-10
"AFG",1935-06-29,-8
"AFG",1945-06-28,-8
"BUL",1935-04-17,-10
"BUL",1943-08-27,-10
"CHL",1935-06-29,2
"CHL",1958-09-01,2
"ETH",1935-10-02,-5
"ETH",1942-01-29,-5
"HAI",1935-06-16,1
"HAI",1946-01-09,1
"IRN",1935-03-21,-8
"IRN",1941-09-14,-8
"LIT",1935-11-06,-9
"LIT",1940-08-01,-9
"PHI",1935-11-23,5
"PHI",1941-12-05,5
"POL",1935-04-22,-6
"POL",1939-08-31,-6
"THI",1935-03-02,-3
"THI",1941-12-19,-3
"VEN",1935-12-18,0
"VEN",1936-07-15,0
"YUG",1935-06-22,-9
"YUG",1937-03-14,-9
"BOL",1936-05-16,-5
"BOL",1951-07-19,-5
"EST",1936-02-25,-6
"EST",1940-06-14,-6
"GRC",1936-08-03,-8
"GRC",1941-04-22,-8
"HON",1936-04-15,-3
"HON",1956-10-19,-3
"IRQ",1936-10-29,-3
"IRQ",1941-04-30,-3
"NIC",1936-06-01,-8
"NIC",1979-05-31,-8
"PAR",1936-03-11,-7
"PAR",1937-08-13,-7
"VEN",1936-07-16,-6
"VEN",1937-02-03,-6
"ARG",1937-02-28,-4
"ARG",1943-06-03,-4
"CHN",1937-07-06,0
"CHN",1946-12-23,0
"PAR",1937-08-14,2
"PAR",1940-02-13,2
"VEN",1937-02-04,-5
"VEN",1941-06-28,-5
"YUG",1937-03-15,0
"YUG",1939-08-24,0
"AUS",1938-03-15,0
"AUS",1945-04-28,0
"CZE",1938-10-09,0
"CZE",1939-03-14,0
"ROM",1938-02-10,-6
"ROM",1940-09-04,-6
"ALB",1939-04-08,0
"ALB",1945-11-08,0
"CZE",1939-03-15,0
"CZE",1945-05-14,0
"POL",1939-09-01,0
"POL",1945-04-19,0
"SPN",1939-04-01,-7
"SPN",1975-11-20,-7
"YUG",1939-08-25,2
"YUG",1941-04-05,2
