"date","sender_id","receiver_id","sender","receiver","year","class","contrition","symbolic","desc"
2004-03-24,"Argentina_gov","Argentina_min","Argentina","Argentina",2004,"domestic","3_apology",TRUE,"Argentinan President Nestor Kirchner apologized for the atrocities during military rule and for 20 years of silence during democracy"
2004-04-07,"South Africa_gov","Rwanda_gov","South Africa","Rwanda",2004,"international","3_apology",FALSE,"South African President Thabo Mbeki apologized on behalf of South Africa to Rwanda for the atrocities that occurred in 1994. "
2004-05-06,"United States_gov","Jordan_gov","United States","Jordan",2004,"international","3_apology",FALSE,"U.S. President George W. Bush apologized for the mistreatment of Iraqi prisoners by American soldiers in  joint press conference with Jordanian King Abdullah Bin Al Hussein II."
2004-05-07,"United States_gov","Iraq_gov","United States","Iraq",2004,"international","3_apology",FALSE,"U.S. Secretary of Defense Donald Rumsfeld apologized to the Abu Ghraib prisoners abused by American forces in a testimony before the Senate Armed Services Committee.  "
2004-05-09,"United Kingdom_gov","Iraq_gov","United Kingdom","Iraq",2004,"international","3_apology",FALSE,"U.K. Prime Minister Tony Blair apologized to Iraqi prisoners for abuse that they suffered at the hands of British Military Personnel"
2004-06-16,"Germany_gov","Namibia_gov","Germany","Namibia",2004,"international","2_regret",FALSE,"The German Bundestag acknowledged its moral responsibility toward Namibia and expressed regrets and its sorrow to ""the suppressed African peoples""."
2004-07-23,"Sri Lanka_gov","Sri Lanka_min","Sri Lanka","Sri Lanka",2004,"domestic","3_apology",FALSE,"Sri Lankan President Chandrika Kumaratunga apologized for the 1983 anti-Tamil pogrom. "
2004-07-26,"New Zealand_gov","New Zealand_min","New Zealand","Northern hapu Te Uri O Hau",2004,"domestic","3_apology",FALSE,"New Zealand Prime Minister Helen Clark apologized on behalf of the Crown for Treaty of Waitangi breaches against Northern hapu Te Uri O Hau."
2004-08-14,"Germany_gov","Namibia_gov","Germany","Namibia",2004,"international","2_regret",FALSE,"Germany's Development Aid Minister Heidemarie Wieczorek-Zeu expressed regret over the killing of Herero people in the colonial war."
2004-12-06,"Serbia_gov","Bosnia and Herzegovina_gov","Serbia","Bosnia and Herzegovina",2004,"international","3_apology",FALSE,"Serbian President Boris Tadic apologized to the victims that suffered under Serbia during the Bosnian war between 1992 and 1995."
2004-12-14,"New Zealand_gov","New Zealand_min","New Zealand","New Zealand",2004,"domestic","3_apology",FALSE,"The New Zealand government apologized to Vietnam veterans for their exposure to the herbicide Agent Orange while serving in the Vietnam war."
2005-02-09,"United Kingdom_gov","United Kingdom_min","United Kingdom","United Kingdom",2005,"domestic","3_apology",FALSE,"U.K. Prime Minister Tony Blair apologized for the wrongful imprisonment of 11 people in relation to IRA bombings in 1974."
2005-03-16,"Belgium_gov","holocaust_victims","Belgium","holocaust_victims",2005,"multilateral","3_apology",FALSE,"Belgian Prime minister Verhofstadt apologized for Belgian's role in deportation Jews at reopening of Yad Vashem"
2005-04-15,"Brazil_gov","slavery_victims","Brazil","slavery_victims",2005,"multilateral","3_apology",FALSE,"Brazil President Luiz Inacio Lula da Silva apologized for BrazilÕs role in slavery during a visit to SenegalÕs Goree Island"
2005-04-22,"Japan_gov","wwii_asia_victims","Japan","wwii_asia_victims",2005,"multilateral","3_apology",FALSE,"Japanese Prime Minister Junichiro Koizumi repeated Japan's feelings of deep remorse and heartfelt apology for the damage and suffering caused to the people of many countries, through its colonial rule and aggression."
2005-05-04,"Denmark_gov","wwii_asia_victims","Denmark","wwii_asia_victims",2005,"multilateral","3_apology",FALSE,"Danish Prime Minister Anders Fogh Rasmussen apologized for the extradition of innocent people from Denmark to Germany during the World War II."
2005-05-08,"Germany_gov","holocaust_victims","Germany","holocaust_victims",2005,"multilateral","2_regret",FALSE,"German President Horst Khler expressed horror and shame for WWII and the Holocaust."
2005-05-09,"Germany_gov","Russia_gov","Germany","Russia",2005,"international","3_apology",FALSE,"German Chancellor Gerhard Schroeder apologized in Russian newspaper to Russians for their suffering during World War II. "
2005-06-13,"United States_gov","United States_min","United States","United States",2005,"domestic","3_apology",FALSE,"The U.S. Senate apologized for its historic refusal to pass anti-lynching legislation."
2005-06-15,"Germany_gov","Armenia_gov","Germany","Armenia",2005,"international","2_regret",FALSE,"The German parliament deplores the fact that the German Reich made no attempt to stop the expulsion and annihliation of Armenians"
2005-07-18,"Guatemala_gov","Guatemala_min","Guatemala","Achi Mayans",2005,"domestic","3_apology",FALSE,"GuatemalaÕs Vice President, Eduardo Stein apologized in Plan de Sanchez for the government-directed 1982 massacre of more than 200 Achi Mayans."
2005-08-12,"India_gov","India_min","India","India",2005,"domestic","3_apology",FALSE,"Indian Prime minister Manmohan Singh apologized to the Sikh community and to the whole Indian nation for the 1984 anti-Sikh riots."
2005-08-15,"Japan_gov","India_gov","Japan","India",2005,"international","3_apology",FALSE,"Japanese Prime Minister Junichiro Koizumi apologized for JapanÕs wartime invasions on the 60th anniversary of the countryÕs surrender."
2005-08-16,"Netherlands_gov","Indonesia_gov","Netherlands","Indonesia",2005,"international","2_regret",FALSE,"Dutch Minister Ben Bot expressed profound regret for the suffering caused by the country's large-scale deployment of military forces In Indonesia in 1947 "
2005-08-25,"Czechia_gov","Germany_gov","Czechia","Germany",2005,"international","2_regret",FALSE,"The Czech Republic's government expressed regret for the treatment and expulsion of anti-Nazi Czechoslovaks of German ethnicity after World War II."
2005-09-01,"Guatemala_gov","Guatemala_min","Guatemala","Guatemala",2005,"domestic","3_apology",FALSE,"Guatemalan Vice-President Eduardo Stein apologized in the name of the government for the 1989 arrest and summary execution of 10 university students by state security forces"
2005-12-07,"Japan_gov","United States_gov","Japan","United States",2005,"international","2_regret",FALSE,"On the anniversary of the attack on Pearl Harbor, Japanese foreign minister Taro Aso expressed Òdeep remorseÓ for JapanÕs actions in World War II."
2006-04-03,"South Korea_gov","South Korea_min","South Korea","South Korea",2006,"domestic","3_apology",FALSE,"South Korean President Roh Moo-hyun apologized for the massacre of 12,000 leftist activists by government troops in 1948 in the southern island of Jeju."
2006-04-24,"Nepal_gov","Nepal_min","Nepal",NA,2006,"domestic","2_regret",FALSE,"During a speech reinstating parliament, NepalÕs King Gyanendra expressed condolences for the victims of recent political violence."
2006-06-22,"Canada_gov","Canada_min","Canada",NA,2006,"domestic","3_apology",FALSE,"Canadian Prime Minister Stephen Harper apologized  for the treatment of Chinese immigrants in imposing a head tax"
2006-07-15,"Suriname_gov","Suriname_min","Suriname",NA,2006,"domestic","3_apology",FALSE,"SurinameÕs president Ronald Venetiaan apologized for the massacre of 39 civilians from the village of Moiwana by the military in 1986."
2006-11-27,"United Kingdom_gov","slavery_victims","United Kingdom","slavery_victims",2006,"multilateral","2_regret",FALSE,"U.K. Prime Minister Tony Blair wrote a statement of regret in New Nation for Britain's role in the slave trade."
2007-03-26,"United Kingdom_gov","Ghana_gov","United Kingdom","Ghana",2007,"international","2_regret",FALSE,"U.K. Prime Minister Tony Blair expressed Òdeep sorrow and regretÓ for BritainÕs role in slavery."
2007-03-27,"Japan_gov","comfort_women","Japan","comfort_women",2007,"multilateral","3_apology",FALSE,"Japanese Prime Minister Shinzo Abe apologized for the use of sexual slavery during WWII"
2007-05-08,"Belgium_gov","holocaust_victims","Belgium","holocaust_victims",2007,"multilateral","3_apology",FALSE,"Belgian Prime minister Verhofstadt apologized for Belgian authorities' involvement in the deportation of Jews during WWII."
2007-06-23,"Serbia_gov","Croatia_gov","Serbia","Croatia",2007,"international","3_apology",FALSE,"Serb president Boris Tadic apologized for Serb crimes in Croatia during a Croatian tv broadcast"
2007-12-21,"Israel_gov","Israel_min","Israel","Israel",2007,"domestic","3_apology",FALSE,"President Shimon Peres apologized  for the 1956 massacre in Kafr Qasem"
2008-02-13,"Australia_gov","Australia_min","Australia","Aborigines",2008,"domestic","3_apology",FALSE,"The Australian government apologized to 'Stolen Generations'."
2008-03-18,"Germany_gov","Israel_gov","Germany","Israel",2008,"international","2_regret",FALSE,"German Chancellor Angela Merkel expressed the shame and historical responsibility of the German people for the Holocaust, in a speech in the Knesset. "
2008-05-29,"New Zealand_gov","New Zealand_min","New Zealand","New Zealand",2008,"domestic","3_apology",FALSE,"New Zealand apologized to Regular Force personnel deployed during the Viet Nam War, and acknowledged the many consequences of that service."
2008-06-11,"Canada_gov","Canada_min","Canada","Canada",2008,"domestic","3_apology",FALSE,"Canadian Prime Minister Stephen Harper apologized for abuses at Indian residential schools."
2008-07-15,"Taiwan_gov","Taiwan_min","Taiwan","Taiwan",2008,"domestic","3_apology",FALSE,"Taiwanese President Ma Ying-jeou apologized for the killing and imprisonment of tens of thousands of dissidents in the 1950s and 60s (White Terror). "
2008-07-15,"Indonesia_gov","Timor-Leste_gov","Indonesia","Timor-Leste",2008,"international","3_apology",FALSE,"At a press conference in Bali, President Yudhoyono of Indonesia and President Horta of Timor-Leste made a common apology for the crimes that happened during the East Timor independe battle in 1999. "
2008-07-15,"Timor-Leste_gov","Indonesia_gov","Timor-Leste","Indonesia",2008,"international","3_apology",FALSE,"At a press conference in Bali, President Yudhoyono of Indonesia and President Horta of Timor-Leste made a common apology for the crimes that happened during the East Timor independe battle in 1999. "
2008-07-29,"United States_gov","United States_min","United States","United States",2008,"domestic","3_apology",FALSE,"The U.S. House of Representatives issued an apology to black Americans for the institution of slavery and the subsequent Jim Crow laws "
2008-08-03,"Canada_gov","Canada_min","Canada","Canada",2008,"domestic","3_apology",FALSE,"Canadian Prime Minister Stephen Harper apologized for the 1914ÊKomagata MaruÊincident, in which several hundred South Asian immigrants were turned away from Vancouver.Ê"
2008-08-28,"Paraguay_gov","Paraguay_min","Paraguay","Paraguay",2008,"domestic","3_apology",FALSE,"Paraguay President Fernando Lugo  apologized to victims of human rights violations under the military government of General Alfredo Stroessner"
2008-08-30,"Italy_gov","Libya_gov","Italy","Libya",2008,"international","3_apology",FALSE,"In Benghazi, Italian Prime Minister Silvio Berlusconi apologized to Libya for damages during the colonial era"
2008-12-09,"Netherlands_gov","Indonesia_gov","Netherlands","Indonesia",2008,"international","2_regret",FALSE,"The Dutch Ambassador to Indonesia expressed regret for the 1947 massacre of 431 villagers in Rawagede (Indonesia) by Dutch soldiers"
2009-02-25,"Guatemala_gov","Guatemala_min","Guatemala","Guatemala",2009,"domestic","3_apology",FALSE,"Guatemalan President Alvaro Colom apologized for genocide during the civil war"
2009-04-30,"United States_gov","United States_min","United States","United States",2009,"domestic","3_apology",FALSE,"The U.S. Senate passed in which it apologized to all Native Peoples"
